Auction ID,Auction Title,Fund,Auction Fee Total
79993,5 2-Drawer File Cabinets,Enterprise,$2.53 
79994,Podium,Enterprise,$2.76 
79995,3 Cambro Food Carts,Enterprise,$70.84 
79996,Kid Size U-Shaped Table,Enterprise,$5.06 
79997,11 Rugs,Enterprise,$210.45 
79998,Care Play Art Easel,Enterprise,$2.18 
79999,Counter w/Sink,Enterprise,$1.38 
80000,Pro Cart II Mobile Treatment Console,Enterprise,$36.10 
80001,Wooden Shelf,Enterprise,$3.22 
80002,Kid Size CPU Desk,Enterprise,$3.91 
80004,10 Chairs,Enterprise,$2.99 
80005,2 Chairs,Enterprise,$0.69 
80006,HP Color Laser Jet 4600 Printer,Enterprise,$35.19 
80007,Chair,Enterprise,$0.69 
80008,Lateral File Cabinet,General Fund,$18.63 
80009,3 Sony 18" Flat Screen Monitors,Enterprise,$5.75 
80010,9 Monitor Stands,Enterprise,$3.91 
80011,15 Dell 17" Flat Screen Monitors,Enterprise,$34.15 
80012,11 Dell Computers,General Fund,$85.44 
80013,46 Assorted Dell Computers,General Fund,$215.05 
80014,Dell Laptop,General Fund,$17.59 
80015,Dell Laptop,General Fund,$6.21 
80016,Dell Laptop,General Fund,$9.89 
80017,Dell Laptop,General Fund,$11.96 
80018,Dell Laptop,General Fund,$13.11 
80019,4 Chairs,Enterprise,$1.38 
80020,Hamilton Music Stand,Enterprise,$2.30 
80021,Bar Stool,Enterprise,$4.83 
80022,Table,Enterprise,$6.21 
80023,Table,Enterprise,$3.03 
80024,Table,Enterprise,$0.46 
80025,Table,Enterprise,$0.23 
80026,Table,Enterprise,$0.46 
80027,Table,Enterprise,$0.46 
80028,Table,Enterprise,$0.46 
80029,2 Chairs,Enterprise,$1.61 
80030,Dell 17" Flat Screen Monitor,Enterprise,$5.40 
80031,Table,Enterprise,$0.23 
80032,Book Rack,General Fund,$10.81 
80033,Book Rack,General Fund,$6.21 
80034,21 Oxygen Regulators,General Fund,$6.21 
80035,Dell 2330dn Laser Printer,General Fund,$3.10 
80036,Dell 1250c Printer,General Fund,$1.81 
80037,63 Assorted Dell Computers,General Fund,$287.50 
80038,15 Dell Laptops,General Fund,$142.60 
80039,Dell Laptop,General Fund,$10.92 
80040,Dell Laptop,General Fund,$11.84 
80041,Dell Laptop,General Fund,$12.30 
80042,Dell Laptop,General Fund,$7.70 
80043,Dell Laptop,General Fund,$12.30 
80044,View Sonic Laptop,General Fund,$4.83 
80045,2 GM Transmission Cores,Enterprise,$9.66 
80046,2 GM Transmission Cores,Enterprise,$7.36 
80047,GM Transmission Core,Enterprise,$4.83 
80048,3 Wooden Bookshelves,Enterprise,$34.50 
80049,3 TV's & Carts,Enterprise,$13.11 
80050,3 Upright Pianos,Enterprise,$23.69 
80051,2000 Pontiac Bonneville,Enterprise,$170.20 
80052,2003 Ford Escape,Enterprise,$304.75 
80054,2000 Nissan Sentra,Enterprise,$232.30 
80055,2001 Hyundai Elantra,Enterprise,$264.81 
80056,1997 Infiniti J30,Enterprise,$414.00 
80057,2001 Lincoln Towncar,Enterprise,$258.75 
80058,2001 Ford Excursion,Enterprise,$811.90 
80059,1997 Ford Taurus,Enterprise,$187.73 
80061,1997 Mercury Mountaineer,Enterprise,$210.45 
80062,2007 Dodge Charger,Enterprise,|$1,299.44 |
80063,Eyeglasses,Enterprise,$3.91 
80064,Sunglasses,Enterprise,$17.94 
80065,Sunglasses,Enterprise,$15.41 
80066,Sunglasses,Enterprise,$5.75 
80067,Sunglasses,Enterprise,$22.54 
80068,Sunglasses,Enterprise,$7.59 
80069,Sunglasses,Enterprise,$3.68 
80070,Sunglasses,Enterprise,$20.24 
80071,Sunglasses w/ Case,Enterprise,$11.96 
80072,Sunglasses w/ Case,Enterprise,$21.39 
80073,Sunglasses w/ Case,Enterprise,$6.44 
80074,Sunglasses w/ Case,Enterprise,$19.78 
80075,Sunglasses w/ Case,Enterprise,$40.25 
80076,Sunglasses w/ Case,Enterprise,$20.24 
80077,1 Pallet of Poster Board,Enterprise,$24.26 
80078,Nike Air Force One Tennis Shoes. Size: 9-1/2,Enterprise,$7.59 
80079,"Nike" Air Max 90 - Size 10,Enterprise,$13.57 
80080,16 Simple Mobile Sim Cards,Enterprise,$0.23 
80081,Dell Laptop w/Bag,General Fund,$17.10 
80082,4 Chairs,Enterprise,$3.68 
80083,Cube Cell Phone Chargers,Enterprise,$4.83 
80084,Cell Phone Pouches,Enterprise,$5.75 
80085,T-Mobile G1 Shells,Enterprise,$0.46 
80086,T-Mobile My Touch Snap On Covers,Enterprise,$0.23 
80087,4 Cib Security Cameras,Enterprise,$18.86 
80088,T-Mobile G1 Shells,Enterprise,$0.23 
80089,USB to Dock Connectors for iPhone,Enterprise,$19.09 
80090,HP Desk Jet F4280,Enterprise,$3.45 
80091,Duraband Mobile Phone Car Chargers,Enterprise,$6.21 
80092,Verifone Credit Card Machine,Enterprise,$18.40 
80093,First Data Credit Card Machine,Enterprise,$6.67 
80094,Swann Digital Video Recorder,Enterprise,$12.65 
80095,2005 Chevrolet Tahoe,Enterprise,$580.75 
80096,2006 Chevrolet Impala,Enterprise,$651.13 
80097,2011 Chevrolet Impala,Enterprise,$148.35 
80098,2001 Chevrolet Malibu,Enterprise,$369.71 
80099,2003 Ford F-450,Enterprise,|$1,460.50 |
80100,2004 Chevrolet Tahoe,Enterprise,|$1,167.48 |
80101,2008 Chevrolet Impala,Enterprise,$191.13 
80102,2005 Chevrolet 2500,Enterprise,$902.98 
80104,Cubby,Enterprise,$9.66 
80105,Cubby,Enterprise,$11.27 
80106,Cubby,Enterprise,$17.94 
80107,Cubby,Enterprise,$5.29 
80108,Cubby,Enterprise,$3.91 
80109,Cubby,Enterprise,$10.81 
80110,23 Child Size Chairs,Enterprise,$12.01 
80111,Childrens Play Set,Enterprise,$2.99 
80112,2-Drawer File Cabinet,Enterprise,$6.44 
80113,Cloth Bulletin Board w/Stand,Enterprise,$1.38 
80114,Assorted Cables & Power Strips,Enterprise,$23.69 
80115,Filing Cart,Enterprise,$2.53 
80116,Battery Pack,Enterprise,$0.46 
80117,Dell 17" Monitor,Enterprise,$4.77 
80119,Car/Truck Jack,Enterprise,$47.15 
80120,Greaser,Enterprise,$29.90 
80121,Plastic Trailer,Enterprise,$46.23 
80122,Transmission Jack,Enterprise,$36.80 
80123,Ladies Sunglasses,Enterprise,$2.76 
80124,Ladies Sunglasses,Enterprise,$2.53 
80125,Men's Watch,Enterprise,$70.84 
80126,Dell Laptop,General Fund,$11.96 
80127,Dell Laptop,General Fund,$35.65 
80128,Dell Laptop,General Fund,$33.58 
80129,Dell Laptop,General Fund,$34.50 
80130,Dell Laptop,General Fund,$15.64 
80131,Dell Laptop,General Fund,$11.96 
80132,Dell Laptop,General Fund,$7.36 
80133,Dell Laptop,General Fund,$11.96 
80134,Dell Laptop,General Fund,$11.96 
80135,Dell Laptop,General Fund,$14.26 
80136,Trek 21-Speed Bicycle,General Fund,$24.42 
80137,Schwinn 21-Speed Bicycle,General Fund,$5.52 
80138,Specialized "Rock Chopper" 24-Speed Bicycle,General Fund,$10.12 
80139,Diamondback 24-Speed Bicycle,General Fund,$15.56 
80140,Shimano 15-Speed Bicycle,General Fund,$11.50 
80141,No Rules Kids Bicycle,General Fund,$2.99 
80142,Razor Kids Bicycle,General Fund,$3.69 
80143,Black & Decker Booster Box,Enterprise,$4.83 
80144,Sentry Safe,General Fund,$3.68 
80145,"Dirt Dobber" Dirt Bike,General Fund,$13.80 
80146,22 Assorted Bicycles,General Fund,$15.64 
80147,2 Flammable/Hazardous Material Cabinets,Enterprise,$65.26 
80148,2 Flammable/Hazardous Material Cabinets,Enterprise,$43.24 
80149,3 Cafeteria Tables,Enterprise,$8.51 
80150,2 Flammable/Hazardous Material Cabinets,Enterprise,$98.89 
80151,2 Computer Tables,Enterprise,$5.75 
80152,2 Computer Tables,Enterprise,$5.75 
80153,2 Computer Tables,Enterprise,$6.67 
80154,2 Video Carts,Enterprise,$3.91 
